station,lat,loc,country,air,rh,R
844440-99999,-6.202,-77.856,PE,18.5444444444,65.8377058404,1.91437870611
342400-99999,50.8,42.0,RS,-10.8125,73.3730434485,2.42688303721
726950-24285,44.583,-124.05,US,7.80952380952,85.5476066711,1.95631629667
152890-99999,45.383,21.133,RO,-1.0625,64.8603799317,2.30823669019
818220-99999,-5.55,-47.467,BR,24.8842105263,85.8900862725,1.61768948083
025610-99999,58.65,15.433,SW,2.43333333333,96.6390106174,1.96684795557
720483-99999,39.096,-93.203,US,-1.38461538462,71.3956153605,2.25849715867
833590-99999,-15.861,-52.389,BR,28.0,75.0594961022,1.64935952344
249180-99999,60.05,108.083,RS,-12.425,79.3962877684,2.40690535095
724586-03919,38.8,-97.65,US,0.275,65.671396534,2.27498291774
080270-99999,43.3,-2.033,SP,11.2,72.654541509,2.00028203385
025260-99999,57.663,12.28,SW,2.64583333333,91.9800429733,2.00264414796
821070-99999,-0.117,-66.967,BR,30.5,66.5860002041,1.67291211825
272250-99999,58.1,38.683,RS,-12.9625,83.872083882,2.37907027029
286980-99999,54.967,73.311,RS,-0.275,93.432579734,2.04760496588
110162-99999,47.967,16.267,AU,6.0,69.0993422538,2.13301764346
444620-99999,27.3,86.5,NP,8.68,63.7448757485,2.12627016608
720425-99999,37.163,-101.371,US,2.15416666667,70.9280867847,2.19293609872
726413-04875,43.417,-88.133,US,-2.61904761905,70.3655375121,2.29160416434
655600-99999,6.793,-6.473,IV,27.7875,50.4983077489,1.86427226951
A00015-53129,36.96,-113.014,US,4.125,57.0079444985,2.2736243362
725229-04858,40.023,-82.463,US,-2.19473684211,78.2889244612,2.21527955444
353942-99999,46.283,48.006,RS,-0.958333333333,79.255763935,2.18267637877
727449-04954,46.419,-92.804,US,-10.9166666667,65.9518156468,2.49260508842
433350-99999,10.767,76.65,IN,29.6,62.2392204555,1.72790148849
724765-93013,38.506,-107.899,US,2.52916666667,64.5409037739,2.24036562895
999999-93804,34.917,-81.95,US,-0.130434782609,76.5030979909,2.19001776706
919440-99999,-18.075,-140.946,FP,28.5958333333,76.4647920013,1.6255880013
840360-99999,0.6,-77.817,EC,9.85,89.5515419743,1.88184676986
296620-99999,55.383,91.617,RS,-0.2125,73.8104910235,2.21473373702
166480-99999,39.65,22.466,GR,2.45,72.5466616022,2.17323264345
959350-99999,-36.217,150.133,AS,22.5,73.9466501463,1.76703774174
014190-99999,59.05,6.117,NO,4.51666666667,61.6621612617,2.22599098971
867400-99999,-16.717,-43.867,BR,22.1619047619,81.4279835428,1.70949485358
014680-99999,60.183,12.0,NO,2.52916666667,83.8643782049,2.07457021834
724107-53895,36.766,-80.823,US,-0.7,70.92754621,2.24905365352
726836-04201,45.773,-122.861,US,7.3125,79.0516634962,2.0218229772
721011-99999,47.967,-100.581,US,-5.89166666667,84.5790117894,2.23399224551
722166-93845,30.783,-83.277,US,7.85416666667,66.3401835833,2.12023830819
160200-99999,46.46,11.326,IT,3.41176470588,57.6332705539,2.28228124453
868550-99999,-21.717,-41.35,BR,25.8454545455,77.3384600065,1.67216437678
011170-99999,65.817,12.417,NO,3.89166666667,80.7674746411,2.07435490091
875760-99999,-34.822,-58.536,AR,23.0041666667,81.549869333,1.69189020446
711060-94234,49.083,-125.767,CA,-0.376923076923,72.9144899978,2.22565398351
720305-53964,33.254,-97.581,US,9.76666666667,46.6050219285,2.25196624519
076210-99999,43.179,-0.006,FR,9.0375,68.3856720389,2.07942368391
476370-99999,35.517,137.817,JA,2.9375,47.0563758295,2.38235504538
766870-99999,19.55,-96.917,MX,16.5,88.3022975756,1.7618262868
957040-99999,-34.25,146.067,AS,19.63125,89.0175869099,1.69412872931
160580-99999,44.933,6.817,IT,-1.9625,71.6902681822,2.267330249
484200-99999,13.517,100.75,TH,28.7625,77.4821124698,1.61358272501
725556-94975,42.577,-100.001,US,-2.7625,77.4857436596,2.2333330694
