city,country,R,temp,rh
Aberdeen,Scotland,2.0142683265191934,13.722727272727273,65.24392252901964
Adelaide,Australia,1.9302175273658717,9.418181818181818,84.903382061617
Algiers,Algeria,1.5987655716699907,23.475,91.32470027156289
Amsterdam,Netherlands,1.9210165771337646,14.85,73.52941991447965
Ankara,Turkey,2.0740403574565915,24.68181818181818,33.16609523180225
Asuncion,Paraguay,1.8005453230294082,24.045454545454547,66.50012128286194
Athens,Greece,1.9474842392735998,27.9,40.54216325482522
Auckland,New Zealand,1.8514859158873989,9.8,93.20467180799547
Bangkok,Thailand,1.6308215340472048,31.125,70.05955314135144
Barcelona,Spain,1.7016273493969285,24.855555555555554,76.17277720056518
Beijing,China,1.6320095165873196,24.195454545454545,85.79928287284893
Belem,Brazil,1.6334763691344547,26.640909090909094,80.02486691588258
Belfast,Northern Ireland,1.9740742796372415,13.363636363636363,70.75135541418041
Belgrade,Serbia,1.92496765597997,27.9625,43.023262706297224
Berlin,Germany,1.9818788996448846,15.363636363636363,65.25897545990962
Birmingham,England,2.0296950334450994,14.681818181818182,61.24830082754724
Bogota,Colombia,1.8737409029325587,13.65909090909091,81.76822491779888
Bombay,India,1.5418691324116773,29.427272727272726,84.31709624360619
Bordeaux,France,1.9647680845332434,21.87727272727273,52.328057534798944
Bremen,Germany,1.88704224571012,13.772727272727272,79.95756831096293
Brisbane,Australia,1.7565837255049903,16.745454545454546,88.35089022510178
Bristol,England,1.959817896351593,14.272727272727272,70.32987010100106
Brussels,Belgium,1.9663789160263332,15.377272727272729,67.03425433047614
Bucharest,Romania,1.9171974596627617,25.45909090909091,49.66512972779853
Budapest,Hungary,1.8901243451102845,24.413636363636364,55.21603309797489
Buenos Aires,Argentina,2.1010424394113523,9.645454545454545,64.47295154137662
Cairo,Egypt,1.790283415887817,29.78636363636364,54.5415705153
Calcutta,India,1.533877382007417,29.371428571428574,85.37649560353115
Canton,China,1.6615049394947206,31.331818181818182,66.00950058866364
Cape Town,South Africa,2.045426697588712,12.4625,64.50006438360003
Caracas,Venezuela,1.5860956201115464,26.909090909090907,84.93259354495648
Cayenne,French Guiana,1.634531080527694,28.47142857142857,75.70753307203033
Chihuahua,Mexico,1.9236859448735566,32.03333333333333,33.84483936982635
Chongqing,China,1.560012274245562,24.704545454545453,93.02405152891309
Copenhagen,Denmark,1.993430996535117,14.75909090909091,65.2978177380135
Cordoba,Argentina,1.7387310546318508,20.0,82.97423605689383
Dakar,Senegal,1.6242613542243327,28.504761904761903,76.82809169324572
Darwin,Australia,1.7679637029208273,27.327272727272724,62.777635811304314
Djibouti,Djibouti,1.7287149736357534,42.25,33.158511231264164
Dublin,Ireland,1.9371766917293367,12.677272727272726,76.62449026252703
Durban,South Africa,2.044524486109287,17.5375,52.97648763295027
Edinburgh,Scotland,1.9718965045231092,13.39090909090909,70.94268330415127
Frankfurt,Germany,2.0589114476370507,18.31818181818182,49.51085056147958
Georgetown,Guyana,1.59082959063436,29.45,78.55867242023776
Glasgow,Scotland,1.9516217028234544,13.09090909090909,73.99312639268915
Guatemala City,Guatemala,1.7590121873328979,19.90909090909091,80.8187745214889
Guayaquil,Ecuador,1.7041841488012623,22.733333333333334,80.73758949480239
Hamburg,Germany,1.9355969901895596,13.90909090909091,73.98604691581741
Hammerfest,Norway,1.9982384844601222,11.545454545454545,72.10115141914237
Havana,Cuba,1.5618798883003469,26.513636363636362,88.6610746842147
Helsinki,Finland,1.7985782432738848,14.072727272727272,89.58064551798333
Hobart,Tasmania,2.02673134133762,1.9454545454545453,90.77750842642703
Hong Kong,China,1.6311564922411104,30.625,71.16620137049999
Iquique,Chile,1.9565019393712975,16.154545454545453,66.40439358885074
Irkutsk,Russia,1.81615038884987,22.44090909090909,68.35796485114889
Jakarta,Indonesia,1.6112117996515312,28.825,77.61523314084718
Johannesburg,South Africa,2.4125261060243655,7.6,32.856397899258106
Kingston,Jamaica,1.6560811592118405,30.004545454545458,69.68292274496456
Kinshasa,Congo,1.7348470194024297,25.7,70.36608165472848
Kuala Lumpur,Malaysia,1.5729579618307628,27.263636363636362,85.65139245456253
La Paz,Bolivia,2.570846987154964,4.904545454545454,20.580378695649475
Leeds,England,2.005785631554334,13.411764705882353,66.94511355804418
Lima,Peru,1.8603995586960527,16.03181818181818,77.88635149759928
Lisbon,Portugal,1.821744500358192,24.80909090909091,62.27957719919355
Liverpool,England,1.982459270845812,14.636363636363637,66.85778788616304
London,England,2.0298236287012124,16.0,58.2128637877375
Lyons,France,1.9596039444065585,21.81818181818182,53.065338117481
Madrid,Spain,1.9373481311239482,28.65,40.004996372500244
Manchester,England,1.9591148688749482,13.181818181818182,72.91149017138773
Manila,Philippines,1.6061423968023263,29.8625,75.82877076895966
Marseilles,France,1.8833052306860476,26.240909090909092,51.82383410101163
Mazatlan,Mexico,1.6621676779102779,30.125,68.6975317120888
Mecca,Saudi Arabia,1.9369520501360253,36.375,22.3502855319318
Melbourne,Australia,1.798189843469483,10.10909090909091,98.70809198808739
Mexico City,Mexico,2.0269366951492827,18.5,52.82089800124909
Milan,Italy,1.7641685240282423,25.29090909090909,67.8860376741824
Montevideo,Uruguay,2.0943892482788113,9.186363636363636,66.3003313088904
Moscow,Russia,2.160804951990223,2.7,73.42226666780624
