No.,city,country,latitude,longitude,latitude of nearest station,longitude of nearest station,USAF,WBAN
0,Aberdeen,Scotland,57.15,-2.15,57.202,-2.198,030910,99999
1,Adelaide,Australia,-34.916666666666664,138.6,-34.917,138.61700000000002,946750,99999
2,Algiers,Algeria,36.833333333333336,3.0,36.783,3.0,603720,99999
3,Amsterdam,Netherlands,52.36666666666667,4.883333333333333,52.309,4.763999999999999,062400,99999
4,Ankara,Turkey,39.916666666666664,32.916666666666664,39.95,32.883,171300,99999
5,Asuncion,Paraguay,-25.25,-57.666666666666664,-25.24,-57.519,862180,99999
6,Athens,Greece,37.96666666666667,23.716666666666665,37.882,23.735,167160,99999
7,Auckland,New Zealand,-36.86666666666667,174.75,-37.0,174.8,931100,99999
8,Bangkok,Thailand,13.75,100.5,13.732999999999999,100.56700000000001,484550,99999
9,Barcelona,Spain,41.38333333333333,2.15,41.417,2.133,081800,99999
10,Beijing,China,39.916666666666664,116.41666666666667,40.08,116.585,545110,99999
11,Belem,Brazil,-1.4666666666666668,-48.483333333333334,-1.4169999999999998,-48.433,816800,99999
12,Belfast,Northern Ireland,54.61666666666667,-5.933333333333334,54.618,-5.872999999999999,039240,99999
13,Belgrade,Serbia,44.86666666666667,20.533333333333335,44.8,20.467,132740,99999
14,Berlin,Germany,52.5,13.416666666666666,52.56,13.288,103820,99999
15,Birmingham,England,52.416666666666664,-1.9166666666666665,52.45399999999999,-1.7480000000000002,035340,99999
16,Bogota,Colombia,4.533333333333333,-74.25,4.702,-74.14699999999999,802220,99999
17,Bombay,India,19.0,72.8,19.089000000000002,72.868,430030,99999
18,Bordeaux,France,44.833333333333336,-0.5166666666666667,44.828,-0.716,075100,99999
19,Bremen,Germany,53.083333333333336,8.816666666666666,53.048,8.787,102240,99999
20,Brisbane,Australia,-27.483333333333334,153.13333333333333,-27.416999999999998,153.067,945780,99999
21,Bristol,England,51.46666666666667,-2.5833333333333335,51.383,-2.719,037243,99999
22,Brussels,Belgium,50.86666666666667,4.366666666666666,50.8,4.35,064470,99999
23,Bucharest,Romania,44.416666666666664,26.116666666666667,44.417,26.1,154220,99999
